Date,Open,High,Low,Close
07-02-2019,11890.3,11917.45,11814.7,11910.3
07-01-2019,11839.9,11884.65,11830.8,11865.6
06/28/2019,11861.15,11871.7,11775.5,11788.85
06/27/2019,11860.85,11911.15,11821.05,11841.55
06/26/2019,11768.15,11871.85,11757.55,11847.55
06/25/2019,11681,11814.4,11651,11796.45
06/24/2019,11725.8,11754,11670.2,11699.65
06/21/2019,11827.6,11827.95,11705.1,11724.1
06/20/2019,11653.65,11843.5,11635.05,11831.75
06/19/2019,11744.45,11802.5,11625.1,11691.45
06/18/2019,11677.05,11727.2,11641.15,11691.5
06/17/2019,11844,11844.05,11657.75,11672.15
06/14/2019,11910.1,11911.85,11797.7,11823.3
06/13/2019,11873.9,11931.35,11817.05,11914.05
06-12-2019,11962.45,11962.45,11866.35,11906.2
06-11-2019,11959.85,12000.35,11904.35,11965.6
06-10-2019,11934.9,11975.05,11871.75,11922.7
06-07-2019,11865.2,11897.5,11769.5,11870.65
06-06-2019,12039.8,12039.8,11830.25,11843.75
06-04-2019,12052.65,12095.2,12005.85,12021.65
06-03-2019,11953.75,12103.05,11920.1,12088.55
05/31/2019,11999.8,12039.25,11829.45,11922.8
05/30/2019,11865.3,11968.55,11859.4,11945.9
05/29/2019,11905.8,11931.9,11836.8,11861.1
05/28/2019,11958.35,11958.55,11864.9,11928.75
05/27/2019,11855.5,11957.15,11812.4,11924.75
05/24/2019,11748,11859,11658.1,11844.1
05/23/2019,11901.3,12041.15,11614.5,11657.05
05/22/2019,11727.95,11784.8,11682.4,11737.9
05/21/2019,11863.65,11883.55,11682.8,11709.1
05/20/2019,11651.9,11845.2,11591.7,11828.25
05/17/2019,11261.9,11426.15,11259.85,11407.15
05/16/2019,11180.35,11281.55,11143.35,11257.1
05/15/2019,11271.7,11286.8,11136.95,11157
05/14/2019,11151.65,11294.75,11108.3,11222.05
05/13/2019,11258.7,11300.2,11125.6,11148.2
05-10-2019,11314.15,11345.8,11251.05,11278.9
05-09-2019,11322.4,11357.6,11255.05,11301.8
05-08-2019,11478.7,11479.1,11346.95,11359.45
05-07-2019,11651.5,11657.05,11484.45,11497.9
05-06-2019,11605.8,11632.55,11571.35,11598.25
05-03-2019,11722.6,11770.9,11699.35,11712.25
05-02-2019,11725.55,11789.3,11699.55,11724.75
04/30/2019,11748.75,11756.25,11655.9,11748.75
04/26/2019,11683.75,11762.9,11661.75,11683.75
04/25/2019,11735.7,11796.75,11624.3,11735.7
04/24/2019,11601.5,11740.85,11578.85,11601.5
04/23/2019,11612.95,11645.95,11564.8,11612.95
04/22/2019,11727.05,11727.05,11583.95,11727.05
04/18/2019,11856.15,11856.15,11738.5,11856.15
04/16/2019,11736.2,11810.95,11731.55,11736.2
04/15/2019,11667,11704.6,11648.25,11667
04-12-2019,11612.85,11657.35,11578.8,11612.85
04-11-2019,11592.55,11606.7,11550.55,11592.55
04-10-2019,11646.85,11680.05,11571.75,11646.85
04-09-2019,11612.05,11683.9,11569.7,11612.05
04-08-2019,11704.35,11710.3,11549.1,11704.35
04-05-2019,11638.4,11689.65,11609.5,11638.4
04-04-2019,11660.2,11662.55,11559.2,11660.2
04-03-2019,11735.3,11761,11629.15,11735.3
04-02-2019,11711.55,11729.35,11655.85,11711.55
04-01-2019,11665.2,11738.1,11644.75,11665.2
03/29/2019,11625.45,11630.35,11570.15,11625.45
03/28/2019,11463.65,11588.5,11452.45,11463.65
03/27/2019,11531.45,11546.2,11413,11531.45
03/26/2019,11375.2,11496.75,11352.45,11375.2
03/25/2019,11395.65,11395.65,11311.6,11395.65
03/22/2019,11549.2,11572.8,11434.55,11549.2
03/20/2019,11553.35,11556.1,11503.1,11553.35
03/19/2019,11500.3,11543.85,11451.25,11500.3
03/18/2019,11473.85,11530.15,11412.5,11473.85
03/15/2019,11376.85,11487,11370.8,11376.85
03/14/2019,11382.5,11383.45,11313.75,11382.5
03/13/2019,11326.2,11352.3,11276.6,11326.2
03-12-2019,11231.35,11320.4,11227,11231.35
03-11-2019,11068.75,11180.9,11059.85,11068.75
03-08-2019,11038.85,11049,11008.95,11038.85
03-07-2019,11077.95,11089.05,11027.1,11077.95
03-06-2019,11024.85,11062.3,10998.85,11024.85
03-05-2019,10864.85,10994.9,10817,10864.85
03-01-2019,10842.65,10877.9,10823.1,10842.65
02/28/2019,10865.7,10865.7,10784.85,10865.7
02/27/2019,10881.2,10939.7,10751.2,10881.2
02/26/2019,10775.3,10888.75,10729.3,10775.3
02/25/2019,10813.25,10887.1,10788.05,10813.25
02/22/2019,10782.7,10801.55,10758.4,10782.7
02/21/2019,10744.1,10808.85,10721.5,10744.1
02/20/2019,10655.45,10752.7,10646.4,10655.45
02/19/2019,10636.7,10722.85,10585.65,10636.7
